id,occupation_title,state,district,gender,income,year,nco_code
69,Computer Systems Analyst III,Tamil Nadu,Nagapattinam,Male,76,49,7470
37,Data Coordinator,Kerala,Medak,Male,83,64,9941
71,Structural Analysis Engineer,Kerala,Warangal (Rural),Female,18,80,8346
30,Chief Design Engineer,Karnataka,Jayashankar Bhupalpally,Male,78,25,2915
80,Engineer I,Kerala,Kottayam,Female,75,16,3188
81,Statistician IV,Tamil Nadu,Kancheepuram,Male,18,15,9671
53,Office Assistant II,Tamil Nadu,Salem,Female,4,68,4144
69,Administrative Officer,Kerala,Kottayam,Female,100,1,7847
23,Cost Accountant,Tamil Nadu,Hyderabad,Male,65,92,1352
31,Business Systems Development Analyst,and Telangana.,Jagtial,Female,71,81,7009
16,Executive Secretary,Tamil Nadu,Mahabubabad,Female,30,10,2297
50,Senior Quality Engineer,Karnataka,Thrissur,Male,84,48,6813
35,Technical Writer,Tamil Nadu,Alappuzha,Male,68,34,7137
34,Health Coach II,Karnataka,Wanaparthy,Female,29,97,6611
6,Assistant Professor,and Telangana.,Tiruppur,Male,52,89,3833
27,Staff Scientist,Tamil Nadu,Ranipet,Male,28,75,5006
35,Occupational Therapist,Kerala,Komaram Bheem Asifabad,Male,49,9,7345
49,Editor,Tamil Nadu,Kollam,Female,7,84,4362
1,Paralegal,and Telangana.,Suryapet,Female,62,52,5098
98,Chemical Engineer,Karnataka,Palakkad,Female,90,21,3717
46,Director of Sales,and Telangana.,Tiruvallur,Female,7,77,8503
33,Media Manager II,Andhra Pradesh,Warangal (Rural),Female,71,93,7646
93,Research Associate,and Telangana.,Kanyakumari,Female,60,44,3004
24,Speech Pathologist,Karnataka,Nirmal,Female,100,70,7081
83,Project Manager,Karnataka,Karimnagar,Female,71,39,7291
72,Director of Sales,Andhra Pradesh,Kamareddy,Female,54,73,8503
64,Pharmacist,Karnataka,Warangal (Rural),Agender,15,27,3523
19,VP Product Management,Kerala,Sangareddy,Genderfluid,38,57,6149
60,Food Chemist,Tamil Nadu,Idukki,Male,97,5,1411
12,Payment Adjustment Coordinator,Kerala,Suryapet,Male,31,35,4269
75,Tax Accountant,Andhra Pradesh,Idukki,Female,100,57,7096
97,Accountant II,Andhra Pradesh,Jayashankar Bhupalpally,Female,39,17,4597
34,Software Consultant,and Telangana.,Tiruchirappalli,Polygender,14,18,2780
69,Marketing Manager,Karnataka,Jayashankar Bhupalpally,Female,17,28,2896
91,Research Nurse,Andhra Pradesh,Warangal (Urban),Female,59,4,2741
25,Accountant III,Karnataka,Kannur,Male,13,71,9474
93,Assistant Media Planner,Andhra Pradesh,Chengalpattu,Female,5,17,9359
71,Payment Adjustment Coordinator,Kerala,Mayiladuthurai,Female,35,47,4269
67,Physical Therapy Assistant,Karnataka,Nizamabad,Male,66,60,1207
44,Quality Control Specialist,Andhra Pradesh,Tiruvarur,Female,42,92,2972
18,Biostatistician III,Kerala,Pathanamthitta,Male,90,63,6545
14,Associate Professor,Tamil Nadu,Dharmapuri,Female,97,10,8638
4,Cost Accountant,Kerala,Thanjavur,Male,12,17,1352
81,Civil Engineer,Tamil Nadu,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Female,94,56,1973
74,Account Representative II,and Telangana.,Coimbatore,Male,32,32,8020
48,Statistician I,Andhra Pradesh,Medchal-Malkajgiri,Female,34,35,4331
60,Geological Engineer,Tamil Nadu,Tiruppur,Female,100,95,7455
1,Paralegal,Kerala,Nirmal,Male,13,8,5098
74,Office Assistant IV,Tamil Nadu,Kallakurichi,Male,51,100,4328
72,Automation Specialist IV,Tamil Nadu,Narayanpet,Male,8,91,3552
77,Financial Advisor,and Telangana.,Kannur,Male,100,33,1893
73,Senior Cost Accountant,Kerala,Perambalur,Male,25,98,3554
54,Mechanical Systems Engineer,Tamil Nadu,Jangaon,Female,72,71,2296
84,Programmer I,Andhra Pradesh,Karimnagar,Female,72,41,2641
50,General Manager,Andhra Pradesh,Idukki,Male,49,41,6133
74,VP Marketing,Kerala,Tiruppur,Male,84,9,9438
64,Actuary,Kerala,Tirupattur,Male,60,39,4634
21,Systems Administrator IV,Tamil Nadu,Narayanpet,Male,77,88,7006
76,GIS Technical Architect,Tamil Nadu,Kancheepuram,Male,96,92,7901
25,Analyst Programmer,and Telangana.,Coimbatore,Female,35,84,3355
29,Health Coach IV,Andhra Pradesh,Thrissur,Female,16,2,6611
89,Librarian,Karnataka,Hyderabad,Male,89,96,6075
10,Cost Accountant,Andhra Pradesh,and Virudhunagar.,Genderfluid,66,100,1352
91,Analog Circuit Design manager,and Telangana.,Medchal-Malkajgiri,Female,66,21,8821
31,Design Engineer,Kerala,Perambalur,Male,14,77,9203
81,Structural Analysis Engineer,Kerala,and Virudhunagar.,Female,96,80,8346
45,Analyst Programmer,Karnataka,Tirunelveli,Female,59,16,3355
75,Chief Design Engineer,Andhra Pradesh,Pathanamthitta,Male,59,28,2915
88,Help Desk Operator,Andhra Pradesh,Cuddalore,Female,83,84,8772
83,Engineer IV,Kerala,Jangaon,Male,52,24,3188
97,Dental Hygienist,Andhra Pradesh,Ramanathapuram,Male,93,67,2582
94,Software Engineer I,Kerala,Nirmal,Female,33,97,9850
55,Tax Accountant,Andhra Pradesh,Alappuzha,Male,46,89,7096
24,Teacher,and Telangana.,Idukki,Male,50,50,8252
59,Analyst Programmer,Andhra Pradesh,Rajanna Sircilla,Male,43,3,3355
30,Tax Accountant,Karnataka,Svikarabad,Genderqueer,88,86,7096
77,Chemical Engineer,Andhra Pradesh,Ranipet,Male,65,5,3717
81,Research Assistant I,Kerala,Chengalpattu,Male,8,21,3984
94,Graphic Designer,Tamil Nadu,Coimbatore,Male,98,4,7631
28,Professor,Tamil Nadu,Nagarkurnool,Male,78,31,5825
25,Biostatistician III,Andhra Pradesh,Sangareddy,Female,20,6,6545
10,Teacher,Karnataka,Jangaon,Male,15,91,8252
16,Developer III,and Telangana.,Chennai,Female,61,26,3632
7,Teacher,Tamil Nadu,Karur,Female,62,24,8252
29,Graphic Designer,Andhra Pradesh,Kanyakumari,Female,54,33,7631
51,Staff Scientist,Andhra Pradesh,Jayashankar Bhupalpally,Male,38,48,5006
34,Quality Engineer,Andhra Pradesh,Thanjavur,Female,86,31,1791
13,Programmer I,Andhra Pradesh,Tiruvarur,Female,60,91,2641
97,Software Engineer I,Kerala,Perambalur,Male,81,89,9850
36,Dental Hygienist,Kerala,Medchal-Malkajgiri,Male,98,36,2582
87,Mechanical Systems Engineer,and Telangana.,Perambalur,Male,29,50,2296
42,Database Administrator II,and Telangana.,Dindigul,Female,28,78,4331
34,Automation Specialist III,Tamil Nadu,Mayiladuthurai,Female,77,91,6248
76,Physical Therapy Assistant,and Telangana.,Dindigul,Male,41,52,1207
68,Environmental Specialist,and Telangana.,Svikarabad,Male,39,83,4002
1,Analog Circuit Design manager,Tamil Nadu,Pathanamthitta,Female,87,32,8821
95,Sales Associate,Tamil Nadu,Nirmal,Female,51,51,9588
27,Pharmacist,and Telangana.,Kamareddy,Male,57,14,3523
14,Nurse,and Telangana.,Perambalur,Bigender,80,94,7186
84,Chief Design Engineer,Kerala,Kanyakumari,Female,99,82,2915
87,Data Coordinator,Kerala,Kannur,Male,50,59,9941
41,Research Associate,Karnataka,Nilgiris,Female,7,41,3004
84,Engineer III,Andhra Pradesh,Thrissur,Male,79,1,5617
92,Internal Auditor,and Telangana.,Jayashankar Bhupalpally,Female,36,39,6218
50,Marketing Manager,Kerala,Kozhikode,Male,26,44,2896
89,Design Engineer,Kerala,Medak,Female,11,31,9203
33,Pharmacist,Andhra Pradesh,Wayanad,Male,44,99,3523
19,Administrative Assistant IV,Kerala,Sivaganga,Non-binary,18,8,9066
65,Occupational Therapist,and Telangana.,Krishnagiri,Male,45,3,7345
35,Assistant Media Planner,Kerala,Wanaparthy,Male,33,71,9359
96,Assistant Professor,Karnataka,Idukki,Bigender,55,59,3833
18,Occupational Therapist,Andhra Pradesh,Idukki,Agender,38,72,7345
41,Design Engineer,Kerala,Bhadradri Kothagudem,Female,85,39,9203
89,Technical Writer,Kerala,Warangal (Rural),Female,49,65,7137
19,Software Consultant,Andhra Pradesh,Salem,Non-binary,14,92,2780
21,Engineer II,Andhra Pradesh,Medchal-Malkajgiri,Male,99,87,5617
81,Assistant Professor,Tamil Nadu,Krishnagiri,Male,24,55,3833
28,Software Engineer I,Tamil Nadu,Jogulamba Gadwal,Male,30,48,9850
75,Statistician II,Andhra Pradesh,Ranipet,Female,41,76,4331
24,Marketing Manager,Kerala,Nirmal,Genderqueer,14,83,2896
22,Nurse,Karnataka,Chennai,Male,9,7,7186
71,Speech Pathologist,Karnataka,Medak,Female,31,73,7081
62,Chemical Engineer,Karnataka,Villupuram,Male,11,42,3717
59,GIS Technical Architect,and Telangana.,Ramanathapuram,Female,44,46,7901
61,Statistician II,Tamil Nadu,Villupuram,Female,25,50,4331
73,Electrical Engineer,Kerala,Mancherial,Female,81,16,4377
98,Legal Assistant,Tamil Nadu,Mancherial,Female,31,49,9066
49,Social Worker,and Telangana.,Mahabubabad,Female,62,40,2700
87,Food Chemist,Tamil Nadu,Cuddalore,Female,28,29,1411
99,Statistician III,and Telangana.,Nalgonda,Female,66,6,1786
81,Systems Administrator I,and Telangana.,Warangal (Rural),Female,98,53,3947
69,Research Associate,Tamil Nadu,Tiruvallur,Agender,20,59,3004
68,Sales Associate,Tamil Nadu,Nirmal,Female,67,7,9588
88,Software Test Engineer IV,Andhra Pradesh,Suryapet,Male,44,54,9337
84,Nurse,and Telangana.,Thanjavur,Female,19,51,7186
86,Engineer III,Kerala,Kottayam,Male,34,96,5617
50,Director of Sales,Karnataka,Siddipet,Female,40,10,8503
39,Junior Executive,Tamil Nadu,and Kasaragod.  Ariyalur,Female,37,38,5032
23,Research Nurse,Tamil Nadu,and Kasaragod.  Ariyalur,Male,73,48,2741
66,Engineer II,Kerala,Tiruchirappalli,Male,64,16,5617
96,Tax Accountant,Kerala,Peddapalli,Male,29,47,7096
85,Speech Pathologist,Tamil Nadu,Malappuram,Male,46,21,7081
52,Senior Developer,and Telangana.,Malappuram,Male,24,100,8825
79,Project Manager,Andhra Pradesh,Namakkal,Male,34,73,7291
82,Geologist II,and Telangana.,Mayiladuthurai,Female,36,11,4105
17,Marketing Assistant,Karnataka,Tirunelveli,Male,73,86,5479
74,Internal Auditor,Andhra Pradesh,Warangal (Urban),Female,62,86,6218
78,Account Executive,Karnataka,Mancherial,Male,53,93,3065
5,Structural Analysis Engineer,and Telangana.,Tiruppur,Female,55,50,8346
4,Quality Control Specialist,Karnataka,Palakkad,Male,87,38,2972
76,Software Engineer III,Tamil Nadu,Siddipet,Male,41,94,7196
100,Senior Cost Accountant,Tamil Nadu,Kallakurichi,Female,78,48,3554
70,Graphic Designer,and Telangana.,Kamareddy,Male,34,15,7631
91,Programmer III,Andhra Pradesh,Chennai,Female,25,98,7223
90,Web Designer II,Tamil Nadu,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Male,67,17,9958
26,Web Developer I,Andhra Pradesh,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Male,8,50,3018
73,Geologist I,Kerala,Malkajgiri,Female,64,64,4105
95,Chemical Engineer,Andhra Pradesh,Namakkal,Male,83,54,3717
30,Accounting Assistant I,Tamil Nadu,Mahabubabad,Female,8,5,2378
71,Structural Engineer,Karnataka,Sangareddy,Female,88,54,6109
32,Help Desk Technician,Karnataka,Tirupattur,Male,85,94,8448
8,Assistant Media Planner,Kerala,Erode,Female,68,99,9359
40,Senior Quality Engineer,and Telangana.,Bhadradri Kothagudem,Female,32,11,6813
94,Programmer I,Kerala,Jogulamba Gadwal,Female,32,93,2641
3,Social Worker,Andhra Pradesh,Warangal (Rural),Female,6,8,2700
